tiempo,Cantidad de productos,Cantidad de cajas abiertas,Trabajadores activos,Nivel de fila,Tiempo del dia,Dia,,,,,,,,
6.42,3,1,6,3,1,1,,,,,,,,
4.53,2,1,6,2,1,1,,,,,,,,
4.10,1,1,6,2,1,1,,,,,,,,
3.41,1,1,6,2,1,1,,,,,,,,
4.29,2,1,6,3,1,1,,,,,,,,
5.33,2,1,6,2,1,1,,,,,,,,
8.15,2,1,6,2,1,1,,,,,,,,
6.08,2,1,6,2,1,1,,,,,,,,
7.47,2,1,6,2,1,1,,,,,,,,
10.33,2,1,6,2,1,1,,,,,,,,
12.55,2,1,6,3,1,1,,,,,,,,
9.54,3,1,6,3,1,1,,,,,,,,
10.13,4,1,6,3,1,1,,,,,,,,
8.50,3,1,6,3,1,1,,,,,,,,
8.16,2,1,6,4,1,1,,,,,,,,
7.57,2,1,6,4,1,1,,,,,,,,
8.04,2,1,6,4,1,1,,,,,,,,
2.25,1,1,6,1,1,1,,,,,,,,
4.35,1,1,6,4,1,1,,,,,,,,
4.35,2,1,6,3,1,1,,,,,,,,
4.35,1,1,6,4,1,1,,,,,,,,
4.35,1,2,6,3,1,1,,,,,,,,
3.31,1,2,6,2,1,1,,,,,,,,
1.45,1,2,6,2,1,1,,,,,,,,
2.52,1,2,6,3,1,1,,,,,,,,
0.35,1,2,6,2,2,1,,,,,,,,
2.21,1,2,6,3,2,1,,,,,,,,
0.56,1,2,6,3,2,1,,,,,,,,
0.59,1,2,6,3,2,1,,,,,,,,
3.13,2,2,6,4,2,1,,,,,,,,
3.53,2,2,6,4,2,1,,,,,,,,
1.40,1,2,5,3,2,1,,,,,,,,
0.41,1,1,5,4,2,1,,,,,,,,
1.15,2,2,5,4,2,1,,,,,,,,
1.20,2,2,5,4,2,1,,,,,,,,
1.40,2,2,5,4,2,1,,,,,,,,
4.23,2,2,5,4,2,1,,,,,,,,
2.35,1,2,5,5,2,1,,,,,,,,
8.00,1,2,5,5,2,1,,,,,,,,
4.42,1,2,5,5,2,1,,,,,,,,
12.42,2,1,5,5,2,1,,,,,,,,
11.57,3,1,5,5,2,1,,,,,,,,
10.35,2,1,5,5,2,1,,,,,,,,
13.10,2,1,5,5,2,1,,,,,,,,
14.25,2,1,5,5,2,1,,,,,,,,
11.46,3,1,5,5,2,1,,,,,,,,
9.00,1,1,5,5,2,1,,,,,,,,
6.44,2,1,5,5,2,1,,,,,,,,
3.25,2,1,5,5,2,1,,,,,,,,
6.20,1,1,5,4,2,1,,,,,,,,
5.23,2,1,5,4,2,1,,,,,,,,
3.40,2,1,5,3,2,1,,,,,,,,
9.52,3,1,5,3,2,1,,,,,,,,
7.51,2,1,5,5,2,2,,,,,,,,
10.57,2,1,5,2,1,2,,,,,,,,
4.32,2,1,5,3,1,2,,,,,,,,
6.23,2,1,5,2,1,2,,,,,,,,
8.20,3,1,5,2,1,2,,,,,,,,
1.32,1,1,5,4,1,2,,,,,,,,
2.23,1,1,5,3,1,2,,,,,,,,
4.25,2,1,5,3,1,2,,,,,,,,
9.52,2,1,5,4,1,2,,,,,,,,
8.40,3,1,5,2,1,2,,,,,,,,
7.50,3,1,5,3,1,2,,,,,,,,
5.23,2,1,5,3,1,2,,,,,,,,
3.25,1,1,5,3,1,2,,,,,,,,
6.16,3,1,4,3,1,2,,,,,,,,
9.22,1,1,5,4,1,2,,,,,,,,
7.52,1,1,5,3,1,2,,,,,,,,
2.53,3,1,5,3,1,2,,,,,,,,
5.42,2,1,5,3,1,2,,,,,,,,
11.44,3,1,5,5,1,2,,,,,,,,
14.47,2,1,5,3,1,2,,,,,,,,
7.35,3,1,4,5,1,2,,,,,,,,
2.10,2,1,6,4,1,2,,,,,,,,
9.00,1,1,5,5,1,2,,,,,,,,
5.20,2,1,5,3,1,2,,,,,,,,
9.31,2,1,5,5,1,2,,,,,,,,
10.12,2,1,5,4,1,2,,,,,,,,
11.22,2,1,5,3,1,2,,,,,,,,
7.55,2,1,4,3,1,2,,,,,,,,
13.35,2,1,6,5,1,2,,,,,,,,
1.56,1,1,5,3,2,2,,,,,,,,
6.44,2,1,5,2,2,2,,,,,,,,
4.30,1,1,5,5,2,2,,,,,,,,
10.23,2,1,5,2,2,2,,,,,,,,
3.20,1,1,5,3,2,2,,,,,,,,
4.70,1,1,5,4,2,2,,,,,,,,
7.84,2,1,5,5,2,2,,,,,,,,
14.21,2,1,5,3,2,2,,,,,,,,
9.84,3,1,5,5,2,2,,,,,,,,
14.41,1,1,5,4,2,2,,,,,,,,
11.27,2,1,5,3,2,2,,,,,,,,
13.57,2,1,5,3,2,2,,,,,,,,
2.10,1,1,6,3,2,2,,,,,,,,
13.17,2,1,5,3,2,2,,,,,,,,
9.12,2,1,5,5,2,2,,,,,,,,
4.25,2,1,5,3,2,2,,,,,,,,
5.30,2,1,5,3,2,2,,,,,,,,
14.41,2,1,5,5,3,2,,,,,,,,
18.09,3,1,5,5,3,2,,,,,,,,
9.16,3,1,4,5,3,2,,,,,,,,
9.39,3,1,5,5,3,2,,,,,,,,
16.11,3,1,5,5,3,2,,,,,,,,
9.68,2,1,5,5,3,2,,,,,,,,
4.00,1,1,5,5,3,2,,,,,,,,
11.16,2,1,5,5,3,2,,,,,,,,
10.46,2,1,5,5,3,2,,,,,,,,
2.00,1,1,5,5,3,2,,,,,,,,
17.34,2,1,5,5,3,2,,,,,,,,
18.40,2,1,5,5,3,2,,,,,,,,
15.42,2,1,5,5,3,2,,,,,,,,
11.00,2,1,5,5,3,2,,,,,,,,
18.23,2,1,6,5,3,2,,,,,,,,
2.00,1,1,5,5,3,2,,,,,,,,
15.51,2,1,5,5,1,3,,,,,,,,
16.04,2,1,5,5,1,3,,,,,,,,
12.23,2,1,5,5,1,3,,,,,,,,
15.04,3,1,5,5,1,3,,,,,,,,
15.07,2,1,5,4,1,3,,,,,,,,
14.33,2,1,5,5,1,3,,,,,,,,
9.90,2,1,5,5,1,3,,,,,,,,
14.09,3,1,5,5,1,3,,,,,,,,
15.20,3,1,5,6,1,3,,,,,,,,
11.12,3,1,5,5,1,3,,,,,,,,
12.05,2,1,5,5,1,3,,,,,,,,
3.00,1,1,5,5,1,3,,,,,,,,
15.20,2,1,5,5,1,3,,,,,,,,
13.40,2,1,5,5,1,3,,,,,,,,
14.42,2,1,5,4,1,3,,,,,,,,
10.29,3,1,5,5,1,3,,,,,,,,
6.00,1,1,5,5,1,3,,,,,,,,
11.18,2,1,5,5,1,3,,,,,,,,
13.30,2,1,5,5,1,3,,,,,,,,
11.29,2,1,5,5,1,3,,,,,,,,
2.00,1,1,5,5,1,3,,,,,,,,
14.43,3,1,5,6,1,3,,,,,,,,
12.58,2,1,5,5,1,3,,,,,,,,
1.50,1,1,5,5,1,3,,,,,,,,
9.92,2,1,5,5,1,3,,,,,,,,
8.52,2,1,5,5,1,3,,,,,,,,
14.52,2,1,5,5,1,3,,,,,,,,
13.22,2,1,6,5,1,3,,,,,,,,
15.11,2,1,4,5,1,3,,,,,,,,
18.50,3,1,5,5,1,3,,,,,,,,
3.41,1,1,5,5,2,3,,,,,,,,
10.46,2,1,5,5,2,3,,,,,,,,
16.55,2,1,5,5,2,3,,,,,,,,
9.25,3,1,5,5,2,3,,,,,,,,
11.82,2,1,5,5,2,3,,,,,,,,
13.00,2,1,6,5,2,3,,,,,,,,
7.41,1,1,5,4,2,3,,,,,,,,
10.26,2,1,5,6,2,3,,,,,,,,
10.12,2,1,5,5,2,3,,,,,,,,
12.40,1,1,5,5,2,3,,,,,,,,
11.21,2,1,5,5,2,3,,,,,,,,
16.58,2,1,4,5,2,3,,,,,,,,
9.36,2,1,5,5,2,3,,,,,,,,
9.56,2,1,5,5,2,3,,,,,,,,
11.48,3,1,5,5,2,3,,,,,,,,
11.07,2,1,5,5,2,3,,,,,,,,
6.43,1,1,6,5,2,3,,,,,,,,
16.05,2,1,5,5,2,3,,,,,,,,
13.46,2,1,5,5,2,3,,,,,,,,
9.52,2,1,5,5,2,3,,,,,,,,
10.15,1,1,5,5,2,3,,,,,,,,
10.20,2,1,5,6,2,3,,,,,,,,
8.57,2,1,5,5,2,3,,,,,,,,
16.24,2,1,5,5,2,3,,,,,,,,
14.15,3,1,5,5,2,3,,,,,,,,
5.21,1,1,5,5,2,3,,,,,,,,
14.16,2,1,5,5,2,3,,,,,,,,
15.23,1,1,5,5,2,3,,,,,,,,
11.25,2,1,5,5,2,3,,,,,,,,
10.10,1,1,5,5,2,3,,,,,,,,
15.24,2,1,5,5,2,3,,,,,,,,
10.45,2,1,6,5,2,3,,,,,,,,
11.13,2,1,5,5,2,3,,,,,,,,
11.43,3,1,5,5,2,3,,,,,,,,
13.25,3,1,5,5,2,3,,,,,,,,
12.14,3,1,5,5,2,3,,,,,,,,
3.51,1,1,5,5,2,3,,,,,,,,
11.27,3,1,5,5,2,3,,,,,,,,
6.53,2,1,4,5,2,3,,,,,,,,
15.08,2,1,5,5,2,3,,,,,,,,
8.39,3,1,5,5,2,3,,,,,,,,
6.21,1,1,5,5,2,3,,,,,,,,
13.36,2,1,5,5,2,3,,,,,,,,
10.45,3,1,5,5,2,3,,,,,,,,
2.26,1,1,5,5,2,3,,,,,,,,
9.32,3,1,5,5,2,3,,,,,,,,
14.00,2,1,5,5,2,3,,,,,,,,
13.08,2,1,5,5,2,3,,,,,,,,
9.50,2,1,5,5,2,3,,,,,,,,
14.37,1,1,5,5,2,3,,,,,,,,
12.29,2,1,5,5,2,3,,,,,,,,
15.52,3,1,5,5,2,3,,,,,,,,
15.47,3,1,5,5,2,3,,,,,,,,
19.45,4,1,5,5,2,3,,,,,,,,
17.21,2,1,5,5,2,3,,,,,,,,
12.09,2,1,5,5,2,3,,,,,,,,
12.48,2,1,5,5,2,3,,,,,,,,
10.40,1,1,5,5,2,3,,,,,,,,
15.17,2,1,5,5,2,3,,,,,,,,
15.12,2,1,5,5,2,3,,,,,,,,
8.35,2,1,5,5,2,3,,,,,,,,
13.13,3,1,5,6,2,3,,,,,,,,
10.45,2,1,5,5,2,3,,,,,,,,
14.04,2,1,5,5,2,3,,,,,,,,
12.43,2,1,5,5,2,3,,,,,,,,
4.30,1,1,5,5,2,3,,,,,,,,
1.45,1,1,5,5,2,3,,,,,,,,
1.51,1,1,5,5,2,3,,,,,,,,
11.40,3,1,5,5,2,3,,,,,,,,
10.37,3,1,5,5,2,3,,,,,,,,
11.47,3,1,5,5,2,3,,,,,,,,
13.15,1,1,4,5,2,3,,,,,,,,
14.34,1,1,5,5,2,3,,,,,,,,
19.58,2,1,5,5,2,3,,,,,,,,
13.07,2,1,5,5,2,3,,,,,,,,
10.33,2,1,5,5,1,4,,,,,,,,
12.16,3,1,5,5,1,4,,,,,,,,
11.56,2,1,5,5,1,4,,,,,,,,
14.34,3,1,6,5,1,4,,,,,,,,
8.58,2,1,5,5,1,4,,,,,,,,
1.32,1,1,6,5,1,4,,,,,,,,
2.00,1,1,5,6,1,4,,,,,,,,
4.31,1,1,5,6,1,4,,,,,,,,
11.41,2,1,5,5,1,4,,,,,,,,
3.45,1,1,5,5,1,4,,,,,,,,
8.45,3,1,5,5,1,4,,,,,,,,
11.46,3,1,5,5,1,4,,,,,,,,
1.45,1,1,5,5,1,4,,,,,,,,
14.45,3,1,5,5,1,4,,,,,,,,
6.31,1,1,5,5,1,4,,,,,,,,
15.54,2,1,6,5,1,4,,,,,,,,
17.48,3,1,5,5,1,4,,,,,,,,
6.59,2,1,5,5,1,4,,,,,,,,
10.15,1,1,5,5,1,4,,,,,,,,
15.23,2,1,5,5,1,4,,,,,,,,
11.29,2,1,5,5,1,4,,,,,,,,
12.01,2,1,5,4,1,4,,,,,,,,
12.18,2,1,5,5,1,4,,,,,,,,
12.31,2,1,5,5,1,4,,,,,,,,
12.27,2,1,5,5,1,4,,,,,,,,
5.16,1,1,5,5,2,4,,,,,,,,
16.56,2,1,5,5,2,4,,,,,,,,
16.44,3,1,5,5,2,4,,,,,,,,
10.56,2,1,5,5,2,4,,,,,,,,
8.50,2,1,5,5,2,4,,,,,,,,
14.54,3,1,5,5,2,4,,,,,,,,
2.21,1,1,6,5,2,4,,,,,,,,
13.53,3,1,5,5,2,4,,,,,,,,
12.24,2,1,5,5,2,4,,,,,,,,
15.27,2,1,5,5,2,4,,,,,,,,
15.28,2,1,5,5,2,4,,,,,,,,
11.02,3,1,5,5,2,4,,,,,,,,
9.05,2,1,5,5,2,4,,,,,,,,
8.45,2,1,4,5,2,4,,,,,,,,
15.03,3,1,5,5,2,4,,,,,,,,
7.45,1,1,5,5,2,4,,,,,,,,
11.28,2,1,5,5,2,4,,,,,,,,
11.41,1,1,5,5,2,4,,,,,,,,
13.04,2,1,5,5,3,5,,,,,,,,
7.39,3,1,5,5,3,5,,,,,,,,
13.45,2,1,5,5,3,5,,,,,,,,
14.56,2,1,5,5,3,5,,,,,,,,
1.32,1,1,5,5,3,5,,,,,,,,
12.27,2,1,5,5,3,5,,,,,,,,
13.49,2,1,5,5,3,5,,,,,,,,
14.40,2,1,5,5,3,5,,,,,,,,
4.58,2,1,5,5,3,5,,,,,,,,
19.07,2,1,5,5,3,5,,,,,,,,
14.37,2,1,5,5,3,5,,,,,,,,
11.24,2,1,5,5,3,5,,,,,,,,
5.31,1,1,5,5,3,5,,,,,,,,
14.56,2,1,5,5,3,5,,,,,,,,
12.34,2,1,5,5,3,5,,,,,,,,
7.11,2,1,5,5,3,5,,,,,,,,
19.39,2,1,5,5,3,5,,,,,,,,
12.34,2,1,5,5,3,5,,,,,,,,
16.26,3,1,5,5,3,5,,,,,,,,
11.12,2,1,5,5,3,5,,,,,,,,
17.51,3,1,5,5,3,5,,,,,,,,
10.00,1,1,5,5,3,5,,,,,,,,
15.03,2,1,5,5,3,5,,,,,,,,
10.06,1,1,5,6,3,5,,,,,,,,
16.53,2,1,4,5,3,5,,,,,,,,
15.27,2,1,5,5,3,5,,,,,,,,
17.11,2,1,5,5,3,5,,,,,,,,
11.32,2,1,5,5,3,5,,,,,,,,
11.23,2,1,5,5,3,5,,,,,,,,
12.30,2,1,5,6,3,5,,,,,,,,
3.50,1,1,5,5,3,5,,,,,,,,
12.23,3,1,5,5,3,5,,,,,,,,
16.45,3,1,5,5,3,5,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
